timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%]
2026/06/02 16:41:12.494, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:41:17.495, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:41:22.495, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:41:27.496, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:41:32.496, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:41:37.497, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:41:42.497, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:41:47.498, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:41:52.498, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:41:57.499, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:42:02.499, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:42:07.500, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:42:12.500, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:42:17.501, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:42:22.501, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:42:27.502, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:42:32.503, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:42:37.503, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:42:42.504, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:42:47.504, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:42:52.505, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:42:57.505, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:43:02.506, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:43:07.506, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:43:12.507, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:43:17.507, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:43:22.508, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:43:27.508, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:43:32.509, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:43:37.509, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 44 %
2026/06/02 16:43:42.510, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:43:47.511, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 43 %
2026/06/02 16:43:52.511, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:43:57.512, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:44:02.512, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:44:07.512, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:44:12.513, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:44:17.514, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:44:22.514, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:44:27.515, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:44:32.515, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:44:37.516, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:44:42.516, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:44:47.517, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:44:52.517, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:44:57.518, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:45:02.518, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:45:07.519, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:45:12.520, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:45:17.520, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:45:22.521, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 45 %
2026/06/02 16:45:27.522, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:45:32.522, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:45:37.523, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:45:42.524, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:45:47.524, NVIDIA A800-SXM4-80GB, 56422 MiB, 81920 MiB, 46 %
2026/06/02 16:45:52.525, NVIDIA A800-SXM4-80GB, 45464 MiB, 81920 MiB, 100 %
2026/06/02 16:45:57.526, NVIDIA A800-SXM4-80GB, 34080 MiB, 81920 MiB, 40 %
2026/06/02 16:46:02.526, NVIDIA A800-SXM4-80GB, 17590 MiB, 81920 MiB, 0 %
2026/06/02 16:46:07.527, NVIDIA A800-SXM4-80GB, 17616 MiB, 81920 MiB, 2 %
2026/06/02 16:46:12.527, NVIDIA A800-SXM4-80GB, 17630 MiB, 81920 MiB, 0 %
2026/06/02 16:46:17.528, NVIDIA A800-SXM4-80GB, 17648 MiB, 81920 MiB, 1 %
2026/06/02 16:46:22.528, NVIDIA A800-SXM4-80GB, 24662 MiB, 81920 MiB, 45 %
2026/06/02 16:46:27.529, NVIDIA A800-SXM4-80GB, 49884 MiB, 81920 MiB, 100 %
2026/06/02 16:46:32.529, NVIDIA A800-SXM4-80GB, 31842 MiB, 81920 MiB, 100 %
2026/06/02 16:46:37.530, NVIDIA A800-SXM4-80GB, 31876 MiB, 81920 MiB, 9 %
2026/06/02 16:46:42.530, NVIDIA A800-SXM4-80GB, 31908 MiB, 81920 MiB, 9 %
2026/06/02 16:46:47.531, NVIDIA A800-SXM4-80GB, 31922 MiB, 81920 MiB, 100 %
2026/06/02 16:46:52.532, NVIDIA A800-SXM4-80GB, 33162 MiB, 81920 MiB, 0 %
2026/06/02 16:46:57.533, NVIDIA A800-SXM4-80GB, 32945 MiB, 81920 MiB, 0 %
2026/06/02 16:47:02.534, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
2026/06/02 16:47:09.575, NVIDIA A800-SXM4-80GB, 0 MiB, 81920 MiB, 0 %
